avg rate of infection,population,avgTemp,avgPrecip,percentage of smokers,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr
100.1395349,4713325,65.1,28.9,14%,3.1,1.7,56,17,0.12,0.081,20,10.7,63,29
11.83870968,310569,65.1,28.9,15%,2.363,1.6,.,.,.,.,14,6.4,.,.
2.533333333,256623,65.1,28.9,16%,0.9,0.5,.,.,0.07,0.063,.,.,.,.
3.285714286,117415,65.1,28.9,18%,2.363,1.6,.,.,.,.,13,5.2,.,.
3.085714286,232751,65.1,28.9,16%,2.363,1.6,14,2,0.08,0.067,.,.,.,.
26.05263158,2102515,65.1,28.9,14%,1.8,1.2,46,12,0.09,0.075,.,.,.,.
27.91428571,1273954,65.1,28.9,12%,2.4,1.8,32,12,0.08,0.065,21,9.5,38,20
8.166666667,276652,65.1,28.9,18%,3.7,2.8,.,.,0.07,0.059,29,10.7,48,25
5.238095238,355481,47.5,12.2,9%,1.733333333,1.266666667,46,12,0.09,0.073,16,5.6,.,.
26.48076923,1160437,47.5,12.2,10%,1.9,1.5,55,18,0.09,0.073,42,9,67,17
11.72727273,636235,47.5,12.2,6%,1.2,1,42,9,0.08,0.066,17,5.9,53,17
2.657894737,260213,47.5,12.2,11%,2.1,1.3,.,11,0.07,0.064,.,.,.,.
10.18918919,163774,41.5,42.7,11%,1.1,0.6,30,6,0.06,0.054,16,6.6,14,5
2,109330,54.1,44.3,14%,1.4,1.1,.,.,0.06,0.057,13,6.4,.,.
12.24324324,236842,54.1,44.3,12%,1.7,1.3,45,10,0.08,0.068,24,8,.,.
7.852941176,352802,54.1,44.3,15%,1.4,1.1,.,.,0.07,0.059,12,6.7,.,.
33.53658537,1147532,54.1,44.3,9%,1.4,1.1,48,16,0.08,0.07,25,9.1,19,9
2.25,89313,54.1,44.3,14%,1.4,1.1,.,.,0.07,0.055,23,7.6,.,.
1.694444444,107766,54.1,44.3,13%,1.4,1.1,.,.,0.08,0.061,.,.,.,.
16.03225806,330818,54.1,44.3,15%,1.1,0.9,.,6,0.08,0.064,15,6.9,27,11
9.947368421,413538,54.1,44.3,11%,1.4,1.1,38,7,0.07,0.06,20,7.2,.,.
16.16666667,470335,54.1,44.3,13%,1.4,1.1,24,4,0.07,0.06,.,.,.,.
1.682926829,81948,54.1,44.3,15%,1.4,1.1,38,9,0.06,0.055,18,7.1,.,.
3.75,152882,54.1,44.3,15%,1.4,1.1,.,.,0.08,0.059,.,.,16,9
8.875,204390,47.7,38.4,13%,1.45,1.05,.,.,0.07,0.061,.,.,.,.
1.431818182,77200,47.7,38.4,13%,1.45,1.05,.,.,.,.,.,.,.,.
98.18367347,2252782,47.7,38.4,9%,1.4,1.1,57,18,0.08,0.055,20,8.3,22,10
5.736842105,129205,47.7,38.4,13%,1.45,1.05,.,.,0.05,0.04,12,5.5,.,.
23.34482759,822083,47.7,38.4,13%,1.45,1.05,.,.,.,.,28,8.5,.,.
5.603773585,522798,47.7,38.4,14%,1.45,1.05,.,.,0.07,0.057,25,7.5,87,20
2.324324324,290536,47.7,38.4,13%,1.5,1,.,.,0.06,0.052,.,.,.,.
7.131578947,229247,47.7,38.4,14%,1.45,1.05,.,.,0.06,0.044,12,4.6,.,.
19.63888889,250873,47.7,38.4,14%,1.45,1.05,.,.,.,.,37,9.8,.,.
